Average Trip Duration (minutes),Amount of Users,Mode of User type
10.436170212765957,94,1
10.72463768115942,69,1
11.634615384615385,52,1
11.194444444444445,36,1
8.933333333333334,15,1
15.363636363636363,11,1
19.142857142857142,7,1
36.5,4,1
14.0,1,1
20.0,3,1
17.714285714285715,14,1
11.575,40,1
10.60135135135135,148,1
11.969465648854962,262,1
10.376470588235295,170,1
10.150684931506849,73,1
9.790123456790123,81,1
8.76086956521739,92,1
9.817073170731707,82,1
12.581395348837209,86,1
17.576576576576578,111,1
12.505050505050505,198,1
11.3875,240,1
10.778409090909092,176,1
10.544444444444444,90,1
9.75,64,1
8.931034482758621,29,1
11.0625,32,1
10.928571428571429,14,1
11.55,20,1
9.666666666666666,3,1
664.3333333333334,6,1
5.0,2,1
10.0,5,1
2.0,1,1
5.0,1,1
12.526315789473685,19,1
11.63888888888889,36,1
10.212121212121213,66,1
13.705882352941176,68,1
16.666666666666668,90,1
16.254901960784313,102,1
14.858333333333333,120,1
15.754098360655737,122,1
19.340740740740742,135,1
14.271028037383177,107,1
15.86,100,1
12.097222222222221,72,1
10.851851851851851,54,1
9.432432432432432,37,1
14.81132075471698,53,1
12.024390243902438,41,1
10.733333333333333,30,1
14.916666666666666,24,1
43.61764705882353,34,1
14.333333333333334,15,1
151.5,4,1
22.2,5,1
25.666666666666668,3,1
6.75,8,1
7.538461538461538,13,1
8.451612903225806,31,1
11.258064516129032,62,1
13.012345679012345,81,1
14.297029702970297,101,1
15.104477611940299,134,1
16.290076335877863,131,1
17.54437869822485,169,1
17.303225806451614,155,1
14.073684210526316,95,1
11.352272727272727,88,1
14.443298969072165,97,1
12.0,74,1
12.384615384615385,52,1
11.156862745098039,51,1
11.310344827586206,29,1
7.809523809523809,21,1
12.117647058823529,17,1
6.8,5,1
30.0,1,1
8.0,3,1
9.88888888888889,18,1
10.907407407407407,54,1
10.632,125,1
12.467391304347826,184,1
451.4673913043478,92,1
9.4,40,1
16.61111111111111,54,1
10.285714285714286,63,1
47.666666666666664,72,1
8.88888888888889,72,1
10.728395061728396,81,1
10.975155279503106,161,1
11.819277108433734,249,1
9.812182741116752,197,1
16.710743801652892,121,1
