dt_iso,city_id,pressure,humidity,wind_speed,avg_temp_f,weather_type,Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
2018-04-27,4975802,1010.125,80.45833333333333,2.5,49.90325000000004,6,19.511030429070562,1358.0,650.0,708.0,48.0,52.0
2018-04-28,4975802,1008.8333333333334,87.125,2.5833333333333335,51.46550000000001,6,20.895567649549697,2038.0,793.0,1245.0,39.0,61.0
2018-04-29,4975802,1010.25,94.79166666666667,2.125,48.23675000000005,6,27.628478027444746,2092.0,719.0,1373.0,34.0,66.0
2018-04-30,4975802,1011.5416666666666,83.04166666666667,2.0,43.65050000000002,2,28.217299923268275,2699.0,581.0,2118.0,22.0,78.0
2018-05-01,4975802,1014.6666666666666,79.83333333333333,2.5833333333333335,45.317750000000046,2,29.399197515374492,1917.0,363.0,1554.0,19.0,81.0
2018-05-02,4975802,1013.875,57.125,2.9583333333333335,62.18292500000004,2,22.826897477421735,1953.0,545.0,1408.0,28.0,72.0
2018-05-03,4975802,1015.0833333333334,59.666666666666664,3.0,69.33747500000003,2,18.867932554406003,2208.0,788.0,1420.0,36.0,64.0
2018-05-04,4975802,1011.375,86.625,2.0,60.21275000000005,2,24.78580265917309,1791.0,686.0,1105.0,38.0,62.0
2018-05-05,4975802,1008.25,52.25,4.583333333333333,61.24902500000005,2,18.91007968735214,1605.0,649.0,956.0,40.0,60.0
2018-05-06,4975802,1016.0833333333334,67.95833333333333,2.4583333333333335,58.08650000000001,2,18.576725033064232,2048.0,698.0,1350.0,34.0,66.0
2018-05-07,4975802,1016.75,75.91666666666667,2.0,56.29842500000004,7,28.715559783676465,2989.0,593.0,2396.0,20.0,80.0
2018-05-08,4975802,1024.1666666666667,84.625,3.0,51.440000000000055,[1 2],29.688242456647142,3340.0,616.0,2724.0,18.0,82.0
2018-05-09,4975802,1023.5416666666666,88.54166666666667,2.5,54.428900000000034,2,28.373585258285583,2262.0,600.0,1662.0,27.0,73.0
2018-05-10,4975802,1016.7916666666666,91.375,2.875,50.62872500000004,[2 6],24.82323026512425,2243.0,705.0,1538.0,31.0,69.0
2018-05-11,4975802,1009.4166666666666,61.166666666666664,3.5416666666666665,56.77475000000005,2,28.194167022073618,2116.0,738.0,1378.0,35.0,65.0
2018-05-12,4975802,1021.7083333333334,51.541666666666664,2.5,47.096750000000036,2,19.9456017431735,2082.0,758.0,1324.0,36.0,64.0
2018-05-13,4975802,1021.0833333333334,81.16666666666667,2.1666666666666665,48.33950000000004,2,22.935938958065606,2369.0,729.0,1640.0,31.0,69.0
2018-05-14,4975802,1015.75,84.0,3.7083333333333335,54.141500000000036,2,25.819736034617506,3399.0,575.0,2824.0,17.0,83.0
2018-05-15,4975802,1009.0,77.75,3.25,60.34700000000004,2,29.0711646814716,3669.0,458.0,3211.0,12.0,88.0
2018-05-16,4975802,1019.25,77.75,3.25,53.74850000000003,2,23.562974097363963,2891.0,661.0,2230.0,23.0,77.0
2018-05-17,4975802,1016.8333333333334,81.04166666666667,2.0416666666666665,56.43425000000005,2,21.443543508143957,2553.0,736.0,1817.0,29.0,71.0
2018-05-18,4975802,1025.2083333333333,49.458333333333336,3.875,57.77825000000004,2,24.918563514159988,2578.0,771.0,1807.0,30.0,70.0
2018-05-19,4975802,1029.75,67.95833333333333,2.4166666666666665,47.33075000000005,1,24.018017938584517,2468.0,723.0,1745.0,29.0,71.0
2018-05-20,4975802,1012.7916666666666,86.33333333333333,3.2083333333333335,59.01650000000004,7,39.12293661780047,3013.0,776.0,2237.0,26.0,74.0
2018-05-21,4975802,1017.1666666666666,57.5,3.4166666666666665,62.204750000000054,1,25.64970693039633,3497.0,525.0,2972.0,15.0,85.0
2018-05-22,4975802,1020.0416666666666,68.0,2.2916666666666665,59.22050000000005,1,50.975753792814736,4387.0,497.0,3890.0,11.0,89.0
2018-05-23,4975802,1011.4583333333334,70.16666666666667,3.1666666666666665,62.96750000000002,2,32.65424491836815,4301.0,472.0,3829.0,11.0,89.0
2018-05-24,4975802,1017.7083333333334,81.79166666666667,4.125,57.383000000000045,2,32.87914511944133,2569.0,599.0,1970.0,23.0,77.0
2018-05-25,4975802,1011.0,58.958333333333336,3.6666666666666665,65.89625000000004,1,22.34911218650335,2224.0,690.0,1534.0,31.0,69.0
2018-05-26,4975802,1006.25,63.833333333333336,2.2083333333333335,71.57750000000006,2,25.062031849668504,2441.0,761.0,1680.0,31.0,69.0
2018-05-27,4975802,1021.0833333333334,80.125,3.125,57.150500000000044,2,22.200486730090415,1686.0,608.0,1078.0,36.0,64.0
2018-05-28,4975802,1022.5416666666666,83.66666666666667,2.125,52.471400000000045,2,31.61830615956826,2083.0,596.0,1487.0,29.0,71.0
2018-05-29,4975802,1014.0416666666666,71.04166666666667,3.0416666666666665,65.84750000000004,1,27.848349116384167,1935.0,501.0,1434.0,26.0,74.0
2018-05-30,4975802,1020.9583333333334,57.875,2.7083333333333335,61.78850000000005,1,19.6293972714092,1271.0,530.0,741.0,42.0,58.0
2018-05-31,4975802,1017.9166666666666,67.04166666666667,2.3333333333333335,62.77475000000006,1,17.399043807666725,1468.0,647.0,821.0,44.0,56.0
2018-06-01,4975802,1010.4583333333334,78.25,2.625,71.19050000000004,2,21.787271247074596,1527.0,621.0,906.0,41.0,59.0
2018-06-02,4975802,1006.5,77.83333333333333,2.625,73.02113750000005,1,19.296949841111726,1656.0,699.0,957.0,42.0,58.0
2018-06-03,4975802,1017.4583333333334,70.83333333333333,3.2083333333333335,57.88100000000003,1,22.994200111324577,1738.0,651.0,1087.0,37.0,63.0
2018-06-04,4975802,1014.375,90.375,2.9583333333333335,47.78150000000005,7,20.019672964150836,1096.0,327.0,769.0,30.0,70.0
2018-06-05,4975802,1005.5,94.29166666666667,1.7083333333333333,48.73775000000003,7,18.76606660644349,694.0,244.0,450.0,35.0,65.0
2018-06-06,4975802,1009.0,86.5,1.75,53.918750000000024,7,17.184125695893293,1153.0,474.0,679.0,41.0,59.0
2018-06-07,4975802,1017.4583333333334,88.125,2.2916666666666665,56.25800000000003,2,17.318774412067267,1540.0,596.0,944.0,39.0,61.0
2018-06-08,4975802,1018.7083333333334,71.125,3.0416666666666665,62.815250000000056,[1 2],16.559685510471585,1407.0,563.0,844.0,40.0,60.0
2018-06-09,4975802,1018.3333333333334,54.791666666666664,2.7916666666666665,61.74425000000006,1,18.59038055734402,1611.0,641.0,970.0,40.0,60.0
2018-06-10,4975802,1017.3333333333334,49.666666666666664,2.75,60.08000000000005,1,21.206125298801847,1485.0,573.0,912.0,39.0,61.0
2018-06-11,4975802,1018.3333333333334,63.375,2.2083333333333335,57.802250000000036,1,32.85534147380188,1753.0,414.0,1339.0,24.0,76.0
2018-06-12,4975802,1018.7083333333334,59.041666666666664,2.5833333333333335,62.91650000000004,1,34.52536814635922,1764.0,436.0,1328.0,25.0,75.0
2018-06-13,4975802,1011.7083333333334,61.416666666666664,2.3333333333333335,71.02700000000006,1,21.605789811284648,1357.0,494.0,863.0,36.0,64.0
2018-06-14,4975802,1002.8333333333334,76.45833333333333,3.4583333333333335,67.69025000000005,2,30.453726472007276,1740.0,635.0,1105.0,36.0,64.0
2018-06-15,4975802,1011.6666666666666,85.33333333333333,2.625,58.78325000000003,[2 7],20.727418417335524,1666.0,593.0,1073.0,36.0,64.0
2018-06-16,4975802,1012.9166666666666,62.0,3.0416666666666665,66.07550000000003,1,18.71065447503445,1476.0,556.0,920.0,38.0,62.0
2018-06-17,4975802,1016.9583333333334,62.375,3.3333333333333335,66.78800000000005,2,23.240117485466985,1798.0,537.0,1261.0,30.0,70.0
2018-06-18,4975802,1012.7083333333334,82.70833333333333,3.25,66.77825000000004,2,28.750764648304127,2145.0,412.0,1733.0,19.0,81.0
2018-06-19,4975802,1004.6666666666666,67.29166666666667,5.583333333333333,72.59300000000003,2,36.484350826561815,2196.0,369.0,1827.0,17.0,83.0
2018-06-20,4975802,1010.25,61.916666666666664,3.5416666666666665,65.47925000000008,2,20.698042633278178,1609.0,526.0,1083.0,33.0,67.0
2018-06-21,4975802,1007.25,63.5,2.4583333333333335,67.40825000000005,2,20.501569206124714,1660.0,583.0,1077.0,35.0,65.0
