Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
21.210526315789473,19,17,2,89.0,11.0
23.666666666666668,12,12,0,100.0,0.0
26.53846153846154,13,8,5,62.0,38.0
13.777777777777779,9,6,3,67.0,33.0
11.0,4,4,0,100.0,0.0
6.928571428571429,14,8,6,57.0,43.0
13.375,8,3,5,38.0,62.0
9.0,2,2,0,100.0,0.0
13.5,2,0,2,0.0,100.0
1.0,1,0,1,0.0,100.0
15.75,4,4,0,100.0,0.0
8.25,8,7,1,88.0,12.0
12.045454545454545,22,19,3,86.0,14.0
12.425,40,40,0,100.0,0.0
15.277777777777779,18,16,2,89.0,11.0
36.36363636363637,11,6,5,55.0,45.0
14.476190476190476,21,19,2,90.0,10.0
12.862068965517242,29,23,6,79.0,21.0
30.16,25,18,7,72.0,28.0
35.95652173913044,23,18,5,78.0,22.0
13.043478260869565,23,22,1,96.0,4.0
15.057142857142857,35,33,2,94.0,6.0
14.170731707317072,41,32,9,78.0,22.0
11.181818181818182,22,19,3,86.0,14.0
6.3076923076923075,13,12,1,92.0,8.0
20.875,8,7,1,88.0,12.0
11.0,8,7,1,88.0,12.0
21.833333333333332,12,8,4,67.0,33.0
12.0,4,4,0,100.0,0.0
11.8,5,5,0,100.0,0.0
8.0,1,1,0,100.0,0.0
20.333333333333332,3,2,1,67.0,33.0
8.0,1,1,0,100.0,0.0
9.8,5,5,0,100.0,0.0
8.333333333333334,6,6,0,100.0,0.0
11.619047619047619,21,18,3,86.0,14.0
10.68,25,24,1,96.0,4.0
30.2,15,15,0,100.0,0.0
34.666666666666664,6,6,0,100.0,0.0
41.36363636363637,11,6,5,55.0,45.0
12.0,9,9,0,100.0,0.0
37.22727272727273,22,14,8,64.0,36.0
30.666666666666668,9,6,3,67.0,33.0
102.0,13,10,3,77.0,23.0
14.333333333333334,12,9,3,75.0,25.0
11.653846153846153,26,25,1,96.0,4.0
12.73913043478261,23,22,1,96.0,4.0
11.1,20,15,5,75.0,25.0
13.214285714285714,14,13,1,93.0,7.0
23.09090909090909,11,10,1,91.0,9.0
14.555555555555555,9,8,1,89.0,11.0
10.333333333333334,3,3,0,100.0,0.0
26.666666666666668,6,6,0,100.0,0.0
25.75,4,1,3,25.0,75.0
27.0,2,1,1,50.0,50.0
8.0,1,1,0,100.0,0.0
7.0,2,2,0,100.0,0.0
14.25,4,4,0,100.0,0.0
9.884615384615385,26,23,3,88.0,12.0
10.971428571428572,35,31,4,89.0,11.0
12.68421052631579,19,18,1,95.0,5.0
8.2,15,14,1,93.0,7.0
9.576923076923077,26,23,3,88.0,12.0
14.538461538461538,26,19,7,73.0,27.0
25.1875,32,26,6,81.0,19.0
15.217391304347826,23,18,5,78.0,22.0
13.393939393939394,33,22,11,67.0,33.0
